1) Mon, 08 Apr 2013 06:06:58 +0000 4698.5 4699.95||As Expected Siemens ,Asian Paints Crashed http://t.co/cfnDW1YeqI
2) Mon, 08 Apr 2013 04:37:51 +0000 4730 4724.75||Any Rise Sell Jubilant Foods ,Mcdowell ,ITC ,Asian Paints. - Stock Tips http://t.co/xJ31bt8S3B
3) Mon, 08 Apr 2013 03:46:22 +0000 4782 4774.35||Any Rise Sell Jubilant Foods ,Mcdowell ,ITC ,Asian Paints. http://t.co/y1IBG24Yvf
22) Fri, 05 Apr 2013 05:03:32 +0000 4762.15 4753||Asian Paints Limited - Disclosure under SEBI Takeover Regulations
24) Fri, 05 Apr 2013 04:27:02 +0000 4777 4765.25||Officer technologist @ Asian Paints Ltd...
40) Thu, 04 Apr 2013 07:20:26 +0000 4847.8 4816.95||Neutral on Asian Paints; targets of Rs 5000 sayas Motilal Oswal-  http://t.co/HR4bBobXAK
41) Thu, 04 Apr 2013 07:04:49 +0000 4844 4843||Neutral on Asian Paints; targets of Rs 5000 says Motilal Oswal-  http://t.co/yMUfpPUrRc
55) Wed, 03 Apr 2013 07:29:45 +0000 4862.95 4866.65||Motilal Oswal neutral on Asian Paints target Rs 5000  Wed, 03 Apr 2013 12:10:58 +0530 http://t.co/OOvDEz8nRw
56) Wed, 03 Apr 2013 07:24:57 +0000 4860.55 4864.35||Asian Paints: Valuations at peak; downgrade to Neutral http://t.co/vBP5BAUQVR
57) Wed, 03 Apr 2013 07:20:29 +0000 4862.8 4862.1||#Broker #StockTip: Motilal Oswal neutral on Asian Paints; target Rs 5000 http://t.co/tKn2QDs1Bx
58) Wed, 03 Apr 2013 07:18:37 +0000 4861.1 4861.85||Asian Paints: Valuations at peak; downgrade to Neutral http://t.co/lRT0V5t2E7
62) Wed, 03 Apr 2013 07:08:22 +0000 4862.1 49862.95||Motilal Oswal neutral on Asian Paints; target Rs 5000:  Motilal Oswal has maintained a neutral rating on Asian... http://t.co/g1rdvHOL39
63) Wed, 03 Apr 2013 07:04:22 +0000 4856.2 4860.55||Brokerage Recos Motilal Oswal neutral on Asian Paints; target Rs 5000 http://t.co/eFS5g9633t
64) Wed, 03 Apr 2013 07:03:44 +0000 4855 4860.55||Motilal Oswal neutral on Asian Paints; target Rs 5000 http://t.co/vqtwLx2WnR
65) Wed, 03 Apr 2013 05:51:46 +0000 4866.95 4860.25||Business Standard : Motilal Oswal downgrades Asian Paints to 'neutral': The dull macroeconomic backdrop is imp... http://t.co/Gy911HeJQP
69) Wed, 03 Apr 2013 05:23:23 +0000 4866.45 4856||Motilal Oswal downgrades Asian Paints to 'neutral': The dull macroeconomic backdrop is impacting consumer sent... http://t.co/XrRpNfxJow
70) Wed, 03 Apr 2013 04:29:29 +0000 4853.5 4859||Sell Asian Paints Ltd with a stop loss of Rs 4930: Mitesh Thacker http://t.co/AKzJLAFYEH
89) Tue, 02 Apr 2013 07:36:24 +0000 4908.75 4909.95||Social Media Campaign Review of Asian Paints Holi On The House http://t.co/Plgq8o9C2A
90) Tue, 02 Apr 2013 07:13:55 +0000 4905.5 4905.3||Dear copywriter, Asian Paints is India's leading PAINT company. Not PAINTS company. Why am I paying you guys?
100) Mon, 01 Apr 2013 08:38:57 +0000 4957.95 4958||Investors may hold on to Asian Paints: P Phani Sekhar, Angel Broking: As a retail investor in search of absolu... http://t.co/m9Ez41ATmk
