18) Fri, 05 Apr 2013 09:29:22 +0000 377.2 375.25||Nifty off day’s lows; BPCL, HCL Tech gain http://t.co/ywhrZv2FGn
19) Fri, 05 Apr 2013 09:22:38 +0000 376.55 376.25||EcoT Nifty off day’s lows; BPCL, HCL Tech gain: Losses in FMCG, power and banks were offset by gains in oil &amp; ... http://t.co/M9jey8Afmu
21) Fri, 05 Apr 2013 09:12:49 +0000 375.6 377.25||^~^ Nifty off day’s lows; BPCL, HCL Tech gain  |
22) Fri, 05 Apr 2013 09:06:30 +0000 377.75 376.1||If BMC doesn't get you, BPCL will. My working day is interspersed with  gharelu kaam. LPG woes.
23) Fri, 05 Apr 2013 08:57:37 +0000 376.8 376.9||Nifty off day’s lows; Maruti, BPCL, HCL Tech gain: Losses in FMCG, power and banks were offset by gains in oil... http://t.co/5T0MfmHCNT
24) Fri, 05 Apr 2013 08:50:29 +0000 377.8 376.5||India’s BPCL offers spot naphtha supply for loading in May: SINGAPORE (ICIS)--India’s Bharat Petroleum C... http://t.co/kYcsH26Dev #ICIS
28) Fri, 05 Apr 2013 08:40:34 +0000 379.3 375.8||Nifty climbs above 5550 led by Maruti, BPCL, GAIL:  The market saw very slight recovery as the Nifty climbed b... http://t.co/kd6wlgA8j2
29) Fri, 05 Apr 2013 08:40:33 +0000 379.3 375.8||#IndianStockMarket Nifty climbs above 5550 led by Maruti, BPCL, GAIL:  The market saw very slight recovery as ... http://t.co/v5RPKdJXHY
30) Fri, 05 Apr 2013 08:40:31 +0000 379.3 375.8||Nifty climbs above 5550 led by Maruti, BPCL, GAIL:  The market saw very slight recovery as the Nifty climbed b... http://t.co/QIiv480frl
31) Fri, 05 Apr 2013 08:40:04 +0000 379.3 375.8||Marketreports Nifty climbs above 5550 led by Maruti, BPCL, GAIL http://t.co/FJGPPsJoao
33) Fri, 05 Apr 2013 08:30:21 +0000 379.3 377.8||India’s BPCL offers spot naphtha supply for loading in May http://t.co/guhgWnLd4j
36) Fri, 05 Apr 2013 08:12:20 +0000 378.35 379.15||Nifty climbs above 5550 led by Maruti, BPCL, GAIL :  The market saw very slight recovery as the Nifty clim http://t.co/aW2c56fFKJ
44) Thu, 04 Apr 2013 09:19:33 +0000 371.8 368.8||HPCL, BPCL good picks in oil space: Satish Gupta: So be cautious &amp; consult your Financial astrologer. Followin... http://t.co/7okRfssnpm
45) Thu, 04 Apr 2013 09:19:33 +0000 371.8 368.8||http://t.co/6nzDES3tHf HPCL, BPCL good picks in oil space: Satish Gupta: So be cautious ... http://t.co/0KAwypyT8c http://t.co/llBFmlaDw1
46) Thu, 04 Apr 2013 08:31:25 +0000 371.25 372.2||plz review it BPCL Recruitment for the General Workman Post http://t.co/eUsH5bqurY
49) Thu, 04 Apr 2013 05:58:55 +0000 375.15 375||HPCL, BPCL good picks in oil space: Satish Gupta:  Oil and gas stocks like IGL, IOC, BPCL, HPCL and pharma stocks like Aurobindo Phar...
51) Thu, 04 Apr 2013 03:32:34 +0000 375.5 376.15||Congrats 2 the winners who had won cash prizes from Microsec 4 the game “BPCL-closing” 1.Sudipto Chakraborty 2.Renuka Kayal 3.Tanisha Rungta
59) Wed, 03 Apr 2013 09:08:57 +0000 378.65 375.75||BPCL Recruitment 2013 for Engineers - General Workman - http://t.co/v1jCfVG7ha
70) Tue, 02 Apr 2013 06:39:19 +0000 379.9 380.4||"BPCL to shut Mumbai diesel unit for a month from November - Business Standard" http://t.co/wUhPlRTjEz #Mumbai #hashmumbai
75) Tue, 02 Apr 2013 06:23:38 +0000 378.05 380.2||RT @PlattsOil: India's BPCL, HPCL cut Apr #jetfuel prices for domestic flights by 5.5-6.1%. Details at Platts Jet Fuel: http://t.co/kXEXrDZ6JU
76) Tue, 02 Apr 2013 06:22:47 +0000 378.4 380.35||India's BPCL, HPCL cut Apr #jetfuel prices for domestic flights by 5.5-6.1%. Details at Platts Jet Fuel: http://t.co/kXEXrDZ6JU
79) Tue, 02 Apr 2013 04:16:55 +0000 375 373.9||RT @BloombergTVInd: CMD Of Energy Major BPCL, RK Singh Says Co. To Continue To Hold 10% Stake In Mozambique Field.
80) Tue, 02 Apr 2013 03:41:11 +0000 374 374.7||RT @BloombergTVInd: Indian Energy Major BPCL Says Petrol Price Cut Based On Intl. Crude Prices. Company CMD Says No Loss On Petrol Sales For Last 6 Months.
