1) Mon, 08 Apr 2013 06:06:35 +0000 393.2 392.8||Cipla top gainer on Sensex http://t.co/KmmqiAa0kY
2) Mon, 08 Apr 2013 05:56:02 +0000 393.8 393.1||Ranbaxy is the top Nifty loser, down 2 pct Cipla up 2 pct to 394.35 rupees, top Sensex gainer
3) Mon, 08 Apr 2013 05:54:51 +0000 394 393.25||Book Profit in Cipla at Rs.394.15 Buy Call given at Rs.391.50
4) Mon, 08 Apr 2013 05:53:22 +0000 393.95 393||Quick Picks Intraday Call:Book Profit in Cipla at Rs.394.15 Buy Call given at Rs.391.50
7) Mon, 08 Apr 2013 04:30:40 +0000 391.5 391.85||We had also provided a tip of Cipla to our Paid Subscribers which is just now reached to its 100% Target.Profit Booked Rs.4 per Share.
58) Thu, 04 Apr 2013 05:25:30 +0000 390.4 389.75||#indiastocks buy hdfc, hdfcbank , FT , 3MIndia , Cipla , Infosys for about 2.5 yrs doubling opportunity
60) Thu, 04 Apr 2013 04:01:08 +0000 388.25 390.25||RT @oneindiamoney: April 4 stock tips: HDFC, Cipla and more http://t.co/LwxD2DmwdH #StockPicks
62) Thu, 04 Apr 2013 03:30:02 +0000 386.05 388.5||April 4 stock tips: HDFC, Cipla and more http://t.co/LwxD2DmwdH #StockPicks
87) Wed, 03 Apr 2013 08:30:31 +0000 393.3 389.4||RT @minhazmerchant: India shd be proud of pharma cos like Cipla which hv fought MNC patents &amp; sold HIV medicine at 1% MNC price in Africa
95) Wed, 03 Apr 2013 05:27:32 +0000 396.5 396.6||Cipla Medpro posts 30pct revenue growth http://t.co/ERLYKqa0TI
98) Wed, 03 Apr 2013 05:22:53 +0000 396.55 396.75||Natco CIpla gain - Hold Cipla till 410 http://t.co/HQCo1W4fnj
99) Wed, 03 Apr 2013 05:09:49 +0000 396.2 396.5||Cipla gets US FDA ok for generic of Merck's migraine drug Maxalt.
