1) Mon, 08 Apr 2013 04:35:54 +0000 749 748.05||#Day-trade mansha: Buy HCL Technologies Ltd below 749.95, target 780.00 for Intraday
13) Fri, 05 Apr 2013 09:32:46 +0000 756.5 756.75||HCL Tech fixes record date for interim dividend:  HCL Technologies has informed that the record date for determining the entitlement ...
24) Thu, 04 Apr 2013 08:49:03 +0000 747.2 743.5||RT @MUST799: IT shares fall on Q4 earning concerns, IT index down over 2%HCL Technologies, Infosys and TCS are trading lower... http://t.co/axkF46TuzS
25) Thu, 04 Apr 2013 08:46:29 +0000 747.5 744.4||IT shares fall on Q4 earning concerns, IT index down over 2%HCL Technologies, Infosys and TCS are trading lower... http://t.co/axkF46TuzS
26) Thu, 04 Apr 2013 06:53:30 +0000 757.55 754.65||HCL Technologies and North Carolina New Schools Collaborate to Create ... http://t.co/399oPYy3JD
27) Thu, 04 Apr 2013 05:36:05 +0000 759.05 757.7||HCL Technologies Walkin Off-campus 2011 &amp; 2012 PASS OUTS Freshers To Apply :... http://t.co/EjVMXnAsKB
28) Thu, 04 Apr 2013 05:29:28 +0000 762.55 759.2||HCL Technologies and North Carolina New Schools Collaborate to Create ... http://t.co/NJN1Leb8wv
60) Wed, 03 Apr 2013 07:59:44 +0000 786.85 786.9||(Freshers Walk-In) in HCL as Trainee - BE, BTech, BCA, BSc @Nagpur: Company Name : HCL Technologies Ltd Compan... http://t.co/LMIn2DxYnp
61) Wed, 03 Apr 2013 07:43:07 +0000 788.45 786.2||Hiring for Drive-in In Bangalore Conducted By Technojobz | HCL Technologies Ltd.  in Bengaluru/Banga http://t.co/7ydGEWMyXb
62) Wed, 03 Apr 2013 07:37:15 +0000 788.35 787.5||HCL Technologies Limited Walk-in Interviews For Freshers 2011, 2012 B.Tech,BCA,B.Sc As… http://t.co/d4ctQ6ST32
63) Wed, 03 Apr 2013 07:13:42 +0000 789.5 788.35||#HCL Technologies collaborates with North Carolina http://t.co/H1zt5vMIYV #IIFLLive #News
65) Wed, 03 Apr 2013 06:50:02 +0000 791.75 790.7||HCL Technologies Walkin For Freshers HR Executive – Recruitment – MBA/PGDM To Apply :... http://t.co/M401MbBZd3
67) Wed, 03 Apr 2013 06:37:49 +0000 792.45 791.45||http://t.co/SgLJamuFcb: HCL Technologies Walk-in drive "Trainee" for B.Tech/BCA/B.Sc graduates… http://t.co/QSusXP7Y5m
69) Wed, 03 Apr 2013 05:49:05 +0000 790.2 790.25||HCL Technologies to create online technology hub for schools, businesses http://t.co/YKJXmQGUin
70) Wed, 03 Apr 2013 05:02:37 +0000 790 790.25||HCL Technologies Limited - Press Release
96) Tue, 02 Apr 2013 08:16:23 +0000 797.45 795.25||TCS, Infosys, Wipro and HCL Technologies likely to report muted growth for March quarter - The Economic Times http://t.co/vm6KVml8Kp
97) Tue, 02 Apr 2013 06:56:06 +0000 796.95 797.95||HCL Technologies Rises 1% To 796.50 Amid High Volume On NSE.
100) Tue, 02 Apr 2013 05:12:53 +0000 793.95 790||RT @CapitalVia: #India top IT players TCS, Infosys, Wipro and HCL Technologies likely to report muted growth for March quarter. #Stock #News @CapitalVia
