1) Mon, 08 Apr 2013 05:13:13 +0000 1496.9 1485.2||Hero MotoCorp is currently Trading Rs.14 Up.
2) Mon, 08 Apr 2013 04:06:40 +0000 1485.05 1477.15||As per our Hero MotoCorp tip of today, it's trading Rs.8 Up.It has already reached to its 90% Target, wait a while for 100% Target.
9) Fri, 05 Apr 2013 09:29:33 +0000 1471.15 1482.95||Hero MotoCorp touched its 52-week low of 1438 rupees today; the stock is currently up nearly 1 pct to 1470 rupee
10) Fri, 05 Apr 2013 08:19:08 +0000 1463.6 1465.7||#Day-trade skc1: Buy Hero MotoCorp Ltd below 1452.00, target 1470.00 for Intraday
12) Fri, 05 Apr 2013 08:14:31 +0000 1465.25 1460.9||#Stockidea Investment Ideas : Axisbank, Unionbank, Canarabank, Hero MotoCorp, Hindalco, Tatasteel.
18) Thu, 04 Apr 2013 06:10:16 +0000 1482.7 1475.3||Hero Glamour Bike, 125cc Bikes, Glamour Price and Specifications – Hero MotoCorp Ltd. - Blurpalicious: http://t.co/mMNoBtZpOi
19) Thu, 04 Apr 2013 05:06:41 +0000 1476.8 1477||Indian share markets opened the day on a negative note. The stocks leading the  losses are Hero MotoCorp and HDFC - http://t.co/IeNl4C1o1x
28) Wed, 03 Apr 2013 07:24:00 +0000 1514.4 1511.7||Hero MotoCorp sales down by 11.36 per cent in March http://t.co/VtOek13H6N http://t.co/NBeojjZvZn
29) Wed, 03 Apr 2013 07:18:11 +0000 1515.85 1515.6||Hero MotoCorp Now In Africa And Latin America– Indian Sales Drop For FY 2012-13: Hero MotoCo... http://t.co/Te0Ag1V4P0 via @technixmedia
31) Wed, 03 Apr 2013 06:55:49 +0000 1518.95 1516||Hero MotoCorp Now In Africa And Latin America– Indian Sales Drop For FY 2012-13 http://t.co/yp25N9XShi
38) Tue, 02 Apr 2013 09:20:09 +0000 1528.15 1529.35||[Hero MotoCorp Ltd.] starts operations in Africa, Latin America. Hero Motocorp was trading at Rs1531.55, down b...
39) Tue, 02 Apr 2013 08:53:42 +0000 1529.1 1527||Hero MotoCorp starts operations in Africa, Latin America: Hero MotoCorp commenced operations in Africa, Latin ... http://t.co/BrnLpR6Zm2
42) Tue, 02 Apr 2013 07:19:42 +0000 1529.05 1532.65||Epic Update : Hero Motocorp: Epic Update Hero MotoCorpVery disappointing numbers, lower both YoY and MoMYoYTot... http://t.co/foECFY298W
43) Tue, 02 Apr 2013 07:17:09 +0000 1528.3 1533.6||Sree Ram says Honda has become more aggressive in two wheeler space and is reportedly grabbing Hero MotoCorp's market share #livemint chat
54) Tue, 02 Apr 2013 05:50:39 +0000 1525.4 1525.05||RT @wheelsunplugged: Two-wheeler major Hero MotoCorp has reported 11.36% decline in total sales at 4,68,283 units for March. http://t.co/FkFMtfzSeI
55) Tue, 02 Apr 2013 05:47:46 +0000 1525 1526.55||Two-wheeler major Hero MotoCorp has reported 11.36% decline in total sales at 4,68,283 units for March. http://t.co/FkFMtfzSeI
56) Tue, 02 Apr 2013 04:42:12 +0000 1524.05 1528.1||#BusinessNews Hero MotoCorp reports 11.36% decline in March 2013 sales - http://t.co/aAp8rmYhbp
57) Tue, 02 Apr 2013 04:13:38 +0000 1530 1526.05||[Hero MotoCorp Ltd.] reports 11% fall in sales. The stock was trading at Rs1,531, down by 0.30%, with a volume ...
59) Tue, 02 Apr 2013 03:34:20 +0000 1532.15 1530||Hero MotoCorp starts ops in Africa, LatAm http://t.co/F9neVqzs7a
91) Mon, 01 Apr 2013 09:11:42 +0000 1532.5 1530.6||[Hero MotoCorp Ltd.] incorporates subsidiary in Netherlands. Hero MotoCorp was trading at Rs1531.90, down by 0....
