1) Mon, 08 Apr 2013 06:51:00 +0000 286.25 286.5||Nifty Top Losers: 08 Apr/12:20 - RANBAXY -2.34% / CAIRN -2.02% / ITC -1.77% / SESAGOA -1.73% / HCLTECH -1.49%
9) Mon, 08 Apr 2013 06:39:16 +0000 286.5 285.8|| Job opportunity: Financial Analyst at Integrated Telecom Company (ITC) - Saudi Arabia #jobs http://t.co/ALj9h4Vr4Y
12) Mon, 08 Apr 2013 06:37:37 +0000 286.4 285.8|| @FoongJiaSheng ITC workshop
16) Mon, 08 Apr 2013 06:32:10 +0000 286.5 286.25|| @HanoufElFayez Hope you had a great time at ITC Maurya.
18) Mon, 08 Apr 2013 06:26:41 +0000 286.25 286|| Travelife Magazine's Suitcase Tales: One night in Mumbai, at one of the @ITCHotels http://t.co/gjVO08I6A5 via @TravelifeMag
21) Mon, 08 Apr 2013 06:21:04 +0000 287.05 286.2|| New Job Vacancy at #ITC, apply now http://t.co/rNHNeyYKEz #Saudi #Jobs
23) Mon, 08 Apr 2013 06:17:27 +0000 287 286.4|| ITC w/ @EunikeJeanette @vinasarah
25) Mon, 08 Apr 2013 06:15:21 +0000 287.25 286.6|| ITC Fixed Income Morning Meeting: Buxl to open around 138.55, Bunds at 146.26, Bobls at... http://t.co/wgo2pXS8BJ #treasuries #bonds
37) Mon, 08 Apr 2013 05:49:54 +0000 286.85 286.9|| The ITC Server Daily is out! http://t.co/lmWkpi7nsg ▸ Top stories today via @R_Tolksdorf @happel @spoonen
49) Mon, 08 Apr 2013 05:30:14 +0000 286.85 286.6||RT @ Vids_01 @ ap_pune I had bought ITC pe at 4.05 and booked profit at 9 :)
50) Mon, 08 Apr 2013 05:25:46 +0000 287.05 286.95||ALERT :ITC ,Will kiss and melt upto 255-250 ,Dont ask reason...........................!!!!!!!!Buy 280 put in TONS TONS !!!
52) Mon, 08 Apr 2013 05:25:16 +0000 287.05 286.95||RT @ITCMarkets: ITC F.I. Meeting: Bund calls... Quiet for Bunds in Tokyo... PRDC PAYing long IRS on JPY... http://t.co/PRhdyMfVgI
53) Mon, 08 Apr 2013 05:24:46 +0000 287.15 286.95||@ap_pune I had bought ITC pe at 4.05 and booked profit at 9 :)
59) Mon, 08 Apr 2013 05:17:51 +0000 287.6 286.8||@Vids_01 hope u traded ITC pe from 'buy to book'
60) Mon, 08 Apr 2013 05:17:38 +0000 287.6 286.8||ITC F.I. Meeting: Bund calls... Quiet for Bunds in Tokyo... PRDC PAYing long IRS on JPY... http://t.co/PRhdyMfVgI
64) Mon, 08 Apr 2013 05:15:17 +0000 287.75 286.75||ITC Interactive Worldwide is hiring ERP Recruiter Consultant http://t.co/tlGeYGNEIh #jobs
65) Mon, 08 Apr 2013 05:15:14 +0000 287.75 286.75||@ap_pune Netaji always spreads message WRONG.... this is time to buy ITC .... he is asking to sell!!
67) Mon, 08 Apr 2013 05:14:26 +0000 287.8 286.35||ITC Interactive Worldwide is hiring ERP Pre-Sales Representative http://t.co/HQB7TiX39D #jobs
68) Mon, 08 Apr 2013 05:14:24 +0000 287.8 286.35||ITC Interactive Worldwide is hiring Channel Manager, ERP &amp; CRM http://t.co/zhAWniPq5l #jobs
69) Mon, 08 Apr 2013 05:11:25 +0000 287.8 287||BUY ANYTHING ,NOT INTERESTED @ ALL.Just sell Sell Sell ITC Biggest fall on card...Countdown started
70) Mon, 08 Apr 2013 05:09:37 +0000 287.65 286.95||Macetss (@ ITC Roxy Mas w/ 3 others) http://t.co/myBXCVm6Ro
71) Mon, 08 Apr 2013 05:06:32 +0000 287.25 287.1||@ap_pune Sir, your trgt on ITC was perfect.... Great !!....I have bought Tata steel 330 ce just now , would like to know the target ?
82) Mon, 08 Apr 2013 04:50:10 +0000 287.3 287.75||Netaji giving short call in ITC now at 287, near support, already down from 310, PE high 13.3---book full
86) Mon, 08 Apr 2013 04:44:39 +0000 287.5 287.15||@submahtw had given a short call in ITC on 1st April---300 pe  below 4--trgt done today
88) Mon, 08 Apr 2013 04:41:54 +0000 288.05 287.45||ITC trgt almost done-----further weakness only below 284 cash now; can take a risk in long with that as sl
92) Mon, 08 Apr 2013 04:38:36 +0000 287.4 288.6||RED ALERT--After news will be out,It's our Challenge ITC will tumble by Rs.40 or more in single day...!!save this line !!
93) Mon, 08 Apr 2013 04:37:51 +0000 288.05 288||Any Rise Sell Jubilant Foods ,Mcdowell ,ITC ,Asian Paints. - Stock Tips http://t.co/xJ31bt8S3B
97) Mon, 08 Apr 2013 04:34:38 +0000 288.1 287.1||JACKPOT OF LIFE.........Buy 1 lac or 10 lac 280 put of ITC @ 3,Risk Rs.3....We see 10--15+ in hrs only.....THIS WEEK ITSELF !!!
