1) Mon, 08 Apr 2013 05:45:52 +0000 1389.3 1387.5||Heading towards first attempt to corporate world.. Intern at Maruti Suzuki India Ltd..
25) Fri, 05 Apr 2013 09:46:38 +0000 1409.25 1405.25||Friday afternoon meeting (@ Maruti Suzuki India Pvt Ltd - Corporate Office) [pic]: http://t.co/SYtVvQ6J8m
30) Fri, 05 Apr 2013 08:27:59 +0000 1409.15 1412.2||Shares of Maruti Suzuki India rallied on hopes that a weak yen, which hit a three-and-half year low, will improve... http://t.co/F3VkNcJ7EH
31) Fri, 05 Apr 2013 08:09:09 +0000 1417.9 1406.95||Maruti surges; weaker yen seen boosting margins: Shares in Maruti Suzuki India Ltd rose 6.5 percent on Friday,... http://t.co/FWMXyBQQkV
33) Fri, 05 Apr 2013 07:47:48 +0000 1403.4 1414||Maruti Suzuki India shares surge, weaker Japanese yen seen boosting margins http://t.co/KJPUbo0QcR #FinanceNews
34) Fri, 05 Apr 2013 07:20:28 +0000 1400.7 1401.85||Maruti Suzuki India shares surge, weaker Japanese yen seen boosting margins - Indian Express: Indian ExpressMa... http://t.co/jbDcw1MvwE
37) Fri, 05 Apr 2013 06:58:47 +0000 1380.85 1397.3||Maruti Suzuki India shares surge, weaker Japanese yen seen boosting margins http://t.co/iVvRQ2sRXl
38) Fri, 05 Apr 2013 06:58:34 +0000 1380.85 1397.3||Maruti Suzuki India shares surge, weaker Japanese yen seen boosting margins http://t.co/b9i6mMXYfU
39) Fri, 05 Apr 2013 06:53:19 +0000 1375.5 1390.2||INDIA Maruti Suzuki India shares surge, weaker Japanese yen seen boosting margins http://t.co/ZCkrWj5164 FINANCIAL EXPRESS
41) Fri, 05 Apr 2013 06:50:07 +0000 1376.8 1388.2||TheFinancialExpress: Maruti Suzuki India shares surge, weaker Japanese yen seen boosting margins: Maruti Suzuk... http://t.co/vBbOHIGCHB
46) Fri, 05 Apr 2013 06:43:39 +0000 1375 1380||[Maruti Suzuki India Ltd.] rallies on weaker yen currency. The stock was trading at Rs1,374, up by 4.79%, with ...
50) Fri, 05 Apr 2013 06:13:55 +0000 1375.25 1375.05||Maruti Suzuki to benefit from falling yen, stock up over 4%: Maruti Suzuki India has rallied 3% on the back of falling Janpanese Yen....
51) Fri, 05 Apr 2013 06:13:55 +0000 1375.25 1375.05||Maruti Suzuki to benefit from falling yen, stock up over 4%: Maruti Suzuki India has rallied 3% on the bac... http://t.co/1HYnpIH9rc -MC
52) Fri, 05 Apr 2013 06:04:43 +0000 1374.9 1376||Maruti Surges; Weaker Yen Seen Boosting Margins: Shares in Maruti Suzuki India Ltd (MRTI.NS) rose as much as 4... http://t.co/yhCA24VZFs
53) Fri, 05 Apr 2013 05:50:57 +0000 1370 1376||Maruti surges; weaker yen seen boosting margins: MUMBAI (Reuters) - Shares in Maruti Suzuki India Ltd (MRTI.NS... http://t.co/ybd3gm4HxG
54) Fri, 05 Apr 2013 05:50:39 +0000 1370 1376||Maruti Suzuki to benefit from falling yen, stock up over 4%: Maruti Suzuki India has rallied 3% on the back of falling Janpanese Yen....
68) Thu, 04 Apr 2013 09:51:11 +0000 1309.6 1320||Maruti Suzuki India trades in green amidst sluggish trade http://t.co/SOyH7tXDTQ
100) Tue, 02 Apr 2013 08:53:51 +0000 1311.85 1312||Maruti Suzuki India sales fall 5% in March, rise 3% in FY13 http://t.co/oAW4m8zOQZ #FinanceNews
