4) Mon, 08 Apr 2013 07:16:25 +0000 2051.5 2053.35||New account !!! And my very own non joint one :P (@ State Bank of India) http://t.co/jjfALtiypF
7) Mon, 08 Apr 2013 04:13:03 +0000 2059.95 2056.55||SBI Admit Card Probationary Officers Exam 2013 | State Bank of India PO Examination Call Letter / Ha http://t.co/nxtcO7zxAV
49) Fri, 05 Apr 2013 09:01:20 +0000 2055 2045.25||[State Bank of India] bags 4th National Award for implementation of PMEGP. SBI was trading at Rs1356.00, down b...
50) Fri, 05 Apr 2013 08:00:11 +0000 2066.3 2063.3||@sunil_abraham State Bank of India
59) Fri, 05 Apr 2013 06:32:14 +0000 2058.45 2070.8||SBI wins National Award for implementation of PMEGP: Country’s largest lender State Bank of India (SBI) has be... http://t.co/bPJNQ8bUPB
61) Fri, 05 Apr 2013 03:39:30 +0000 2067.6 2073||SBI sees 30% growth in home loans in 2013: When it comes to speaking out his mind, State Bank of India chairma... http://t.co/OtmYJ7ZbPh
76) Thu, 04 Apr 2013 09:16:47 +0000 2070.5 2062.85||I'm at State Bank of India http://t.co/IhN7zMDYn4
77) Thu, 04 Apr 2013 08:29:20 +0000 2074.4 2070.95||Update-Moody's assigns Baa2 to senior notes of State Bank of India http://t.co/7c4UD1BuDG
79) Thu, 04 Apr 2013 08:10:22 +0000 2061.95 2072.1||Update-Moody's assigns Baa2 to senior notes of State Bank of India http://t.co/lbN3PrBvE0
80) Thu, 04 Apr 2013 08:02:00 +0000 2066.55 2064.05||Last interview. Haphap! (@ State Bank of India, Singapore Branch) http://t.co/ENJLbF25iN
81) Thu, 04 Apr 2013 07:58:51 +0000 2065.5 2064||Moody's Assigns Baa2 to Senior Notes of State Bank of India http://t.co/8gReZvYMYL
82) Thu, 04 Apr 2013 07:58:50 +0000 2065.5 2064||@topbuyforex1 Moody's Assigns Baa2 to Senior Notes of State Bank of India  #topbuyforex1
83) Thu, 04 Apr 2013 07:53:20 +0000 2067.4 2064.8||Moody's Assigns Baa2 to Senior Notes of State Bank of India http://t.co/0lnfKEbF4d
84) Thu, 04 Apr 2013 07:30:47 +0000 2081.3 2065.75||Update-Moody's assigns Baa2 to senior notes of State Bank of India: State Bank of India http://t.co/gk97rzhEaA
85) Thu, 04 Apr 2013 07:27:40 +0000 2082.1 2066.85||Moody's assigns Baa2 to senior notes of State Bank of India http://t.co/4625z39oz9
