2) Mon, 08 Apr 2013 06:34:17 +0000 253.95 253.8||MutualFund News JP Associates, Tata Motors (DVR) top sells: DSP BlackRock http://t.co/itwMFYF3Jh
3) Mon, 08 Apr 2013 06:28:01 +0000 254.35 253.85||Sensex volatile; Tata Motors, Bharti Airtel gain - Reuters Market Eye - The Sensex and the Nifty are volatile.... http://t.co/JxeJQpwEP0
4) Mon, 08 Apr 2013 05:56:22 +0000 256.55 256.6||It's a mixed day for the BSE auto index -- Tata Motors is up 1.3 pct, Bajaj Auto rises 1.2 pct, Maruti Suzuki down 1.2 pct
11) Mon, 08 Apr 2013 04:53:27 +0000 257.3 256.75||Indian share markets opened the day on a positive note. The stocks leading the  gains are Tata Motors &amp; Bajaj Auto - http://t.co/Y8t86aDC6O
17) Mon, 08 Apr 2013 04:32:32 +0000 257.9 258.45||Sensex, Nifty edge up in choppy trade; Tata Motors gains: Indian stock markets were choppy in early trade
18) Mon, 08 Apr 2013 04:14:23 +0000 257.75 257.95||Sensex starts on a cautious note; Tata Motors up http://t.co/oRTo4TtXHJ
19) Mon, 08 Apr 2013 04:09:18 +0000 258 257.95||Sensex, Nifty edge up in choppy trade; Tata Motors gains http://t.co/2pI8o7W8m1
56) Fri, 05 Apr 2013 08:08:31 +0000 255.4 255.65||Tata Motors #Pantnagar plant achieves the Energy Management System ISO 50001:2011 certification from #BureauVeritas
57) Fri, 05 Apr 2013 07:44:19 +0000 254.85 255.55||Sensex earnings to grow just 1%; Tata Motors to drag: BofA-ML http://t.co/L1SVSFLLEt
59) Fri, 05 Apr 2013 06:09:12 +0000 256.2 254.9||Ashok Leyland-Nissan JV plan new LCVs: Ashok Leyland-Nissan combine plans to take on Tata Motors and Mahindra ... http://t.co/hvjE6qO6pd
61) Fri, 05 Apr 2013 06:04:54 +0000 256.45 254.6||Tata Motors JLR’s US retail volumes up 4% in March http://t.co/07cWAJvsTx
62) Fri, 05 Apr 2013 05:50:06 +0000 256.35 256.2||#BusinessNews Tata Motors JLR’s US retail volumes up 4% in March 2013: JLR numbers are wea... http://t.co/BBl19rexH9 #ShubhamConsultants
63) Fri, 05 Apr 2013 05:12:26 +0000 259.35 258||#ShortTerm brijeshb30: Sell Tata Motors Ltd above 261.00, target 253.00 for 5 Days
64) Fri, 05 Apr 2013 04:41:31 +0000 258.55 259.4||#Day-trade patel09: Buy Tata Motors Ltd above 260.75, target 265.15 for Intraday
66) Fri, 05 Apr 2013 04:21:40 +0000 260.3 258.6||Tata Motors rolls out heavy duty trucks in Sri Lanka via DIMO - FT.lk http://t.co/jghfkUPiuX
68) Fri, 05 Apr 2013 03:58:56 +0000 260 260.7||Tata Motors sales down 27.6% in March  http://t.co/ZFz4XbfZZn via @thehindu
69) Fri, 05 Apr 2013 03:52:47 +0000 260.65 260||Tata Motors looking at diesel and CNG Tata Nano to script its comeback... http://t.co/mq21Uj1mU0
94) Thu, 04 Apr 2013 09:02:18 +0000 257.6 258.05||Epic Update : Tata Motors: Epic Update Tata MotorsTata Motors launches range of Tata PRIMA trucks in Sri Lanka... http://t.co/jndw9Z0p5S
96) Thu, 04 Apr 2013 08:22:12 +0000 256.35 256.5||Tata Motors Full Throttle Trails to be organised in Bhopal on April 7, 2013: The aim of this event is to help ... http://t.co/Y8DIVOBZ3F
97) Thu, 04 Apr 2013 08:19:56 +0000 258.65 256.65||Tata Motors Fails to Turn the Tide in Its Favour http://t.co/yrrhlpCFb3
98) Thu, 04 Apr 2013 08:13:59 +0000 258.4 257||Tata Motors inches up after launch of Tata PRIMA trucks in Sri LankaOn BSE, 6.52 lakh shares were traded in... http://t.co/leWNZAMaIy
