1) Mon, 08 Apr 2013 06:59:49 +0000 96.45 96.55||Bought Tata Power at 96... Looks strong for 100.
2) Mon, 08 Apr 2013 06:52:55 +0000 96.3 96.6||Tata Power v/s Reliance Infrastructure. http://t.co/oQpLON1Ybe #IIFLLive #News
3) Mon, 08 Apr 2013 06:37:01 +0000 96.2 96.4||Tata Power objects to Rel Infra's tariff hike petition to MERC.
4) Mon, 08 Apr 2013 06:19:12 +0000 96.15 96.15||RT @jindalsolar: http://t.co/y6a6JeLIFK :-Tata Power's Mundra UMPP creates sustainable livelihood for fishermen in Gujarat http://t.co/did9qA1UOW
5) Mon, 08 Apr 2013 06:12:05 +0000 95.75 96.25||RT @jindalsolar: http://t.co/y6a6JeLIFK :-Tata Power's Mundra UMPP creates sustainable livelihood for fishermen in Gujarat http://t.co/did9qA1UOW
6) Mon, 08 Apr 2013 05:57:46 +0000 95.65 90.65||http://t.co/y6a6JeLIFK :-Tata Power's Mundra UMPP creates sustainable livelihood for fishermen in Gujarat http://t.co/did9qA1UOW
7) Mon, 08 Apr 2013 04:48:04 +0000 95.6 95.55||Brokerage Recos Hold Tata Power; sell Adani Power, says Emkay http://t.co/9Z4pF8QDYL
8) Mon, 08 Apr 2013 04:48:04 +0000 95.6 95.55||Hold Tata Power; sell Adani Power, says Emkay http://t.co/OXPMl5uOoh #stocks #tip #India
9) Mon, 08 Apr 2013 04:47:04 +0000 95.45 95.55||Hold Tata Power; sell Adani Power, says Emkay http://t.co/9Feb63WD6u
10) Mon, 08 Apr 2013 04:46:19 +0000 95.45 95.55||#Broker #StockTip: Hold Tata Power; sell Adani Power, says Emkay http://t.co/OpGJPPNBHO
11) Mon, 08 Apr 2013 04:39:43 +0000 95.5 95.6||@BatlaxNews Hold Tata Power; sell Adani Power, says Emkay http://t.co/UtnsOgCnmQ
12) Mon, 08 Apr 2013 04:39:42 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay http://t.co/4dW9us2m9O #Bluechipinvest
13) Mon, 08 Apr 2013 04:39:41 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report o... http://t.co/4P7D1w0mai
14) Mon, 08 Apr 2013 04:39:41 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report o... http://t.co/4OZbsRBLQB
15) Mon, 08 Apr 2013 04:39:40 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay  #News
16) Mon, 08 Apr 2013 04:39:39 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay  #News
17) Mon, 08 Apr 2013 04:39:39 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay http://t.co/UaxfTzsZ0T
18) Mon, 08 Apr 2013 04:39:38 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report o... http://t.co/jAFE4EDcME
19) Mon, 08 Apr 2013 04:39:35 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay http://t.co/GazqIIdN82
20) Mon, 08 Apr 2013 04:39:34 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report o... http://t.co/eB0oN2ZFqS
21) Mon, 08 Apr 2013 04:39:32 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report on power sector. Accordi...
22) Mon, 08 Apr 2013 04:39:31 +0000 95.5 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report o... http://t.co/acuBKCMlwN
23) Mon, 08 Apr 2013 04:35:40 +0000 95.45 95.6||Tata Power objected to Reliance Infra's multi-year tariff proposal submitted to the regulator MERC, saying it has... http://t.co/xh0O28mbyD
24) Mon, 08 Apr 2013 04:35:15 +0000 95.45 95.6||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its report o... http://t.co/XnIUQFyEY3
25) Mon, 08 Apr 2013 04:35:13 +0000 95.45 95.6||#IndianStockMarket Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come ou... http://t.co/yzOhwZ4LJq
26) Mon, 08 Apr 2013 04:35:04 +0000 95.45 95.6||Hold Tata Power; sell Adani Power, says Emkay http://t.co/vXIfFN4XNG
27) Mon, 08 Apr 2013 04:35:03 +0000 95.45 95.6||Hold Tata Power; sell Adani Power, says Emkay http://t.co/cIlMLuyO5k #news #india #stock
28) Mon, 08 Apr 2013 04:34:24 +0000 95.5 95.5||Hold Tata Power; sell Adani Power, says Emkay:  Emkay Global Financial Services has come out with its repo http://t.co/XBNevI9uDr
29) Mon, 08 Apr 2013 04:13:49 +0000 95.5 95.55||Power sector top news: Tata Power faults Reliance Infra's tariff proposal - RInfra terms objections 'misleading', 'c…http://t.co/5qo7vr3Lvj
